bebek quacky	Okawuwww
bebek quacky	Bayar berapaa
Mahen	uhhh forget
Mahen	wkwwkkwk
bebek quacky	Heeee
bebek quacky	Jadi bagaimana ku membayar wi
Mahen	ntar aj kapan2 wkwk
bebek quacky	OkA
Mahen	han
Mahen	kata ricky untung gk dateng
Mahen	macet banget + cancelled wkwkwkkw
bebek quacky	Eh 
bebek quacky	Maksudnya dia gadateng?
bebek quacky	Cancelled apanyaa?
Mahen	eventnya cancelled
Mahen	gara2 kebanyakan pipol
Mahen	wkwkwkw
bebek quacky	Yaampunnnn
bebek quacky	Bisa gt ya
bebek quacky	Sed bgt
bebek quacky	Btw ku kayaknya bentar lg ketiduran
bebek quacky	Sleepweeelll
Mahen	Sleeweppllllyyy smolwieiwi
Mahen	Ku mimpi dressup km jd catgirl
Mahen	Dah, gt aja
Mahen	Aku tidur lg
bebek quacky	Wokwkw random wiiii
bebek quacky	Morning uwuwwwww
Mahen	Hepiwokwok
bebek quacky	Sorry apa wuwwwww
bebek quacky	Btw tadi gempa ya?
Mahen	Idk
Mahen	Gk kerasa wkwk
Mahen	Nggakkk apa2
bebek quacky	Hwee apa pompimm
bebek quacky	Ga dimaafin kalau ga bilang
Mahen	Beneran gk ada apa2 serius gk bohong
Mahen	Aku coba2 stiker wkwkkw
bebek quacky	Wkkwwk okawuwww wuw believe 
bebek quacky	Dont lie to wuw okay, trust is build 
Mahen	Built
Mahen	But ok
bebek quacky	Hehe
bebek quacky	Ok thanks wuwuw
bebek quacky	Cmiiwwww
bebek quacky	Goodluck for the interview wuwuwwwww
Mahen	Thankies pimmm
bebek quacky	Masamaaa 
Mahen	Lancarpom
Mahen	Keknya tinggal nunggu offer wkwkwk
Mahen	Tapi gk tau deh sesuai yg aku mai ato nggak
Mahen	Kalo nggak sih yaaa gg wkw
Mahen	Hrsnya gk beda jauh lah ya
bebek quacky	Iyaaa aamiin pommm
bebek quacky	Goodjob wuwww
bebek quacky	Wuw kerennn
Mahen	Kalo keterima dan sesuai yang aku mau, tagih traktiran terserah dimana ya
Mahen	Hhe
Mahen	Dasarpom
Mahen	Bulet bgt sih pipi km
Mahen	Makan geura
bebek quacky	Kulagi makaann
bebek quacky	Jadi jendol2 bulet pipinya
Mahen	Sobuled >:(
Mahen	>:(
bebek quacky	Sowwy
bebek quacky	Gak punya gigi belakang
Mahen	WKKWKWKWK
Mahen	you
bebek quacky	Wuw apakah wuw baik2 saja?
Mahen	Knp emg tiba2 wkwl
bebek quacky	Aku kayak punya feeling buruk ttg aku sendiri kayak merasa 'bakal sial' hari ini
Mahen	Han....
Mahen	Hati2 pulangnya
bebek quacky	Tadi aku ditanya2 sm mnaager sih tp udh ko gakenapa2 semoga gapapa eih
Mahen	Pake sabuk pengaman
bebek quacky	Semog amaksudnya kesialannya itu
bebek quacky	Aku dibelaknag pulangnyaa di jemputan
Mahen	Ditanya apa?
bebek quacky	Tp nyebrangnya yg tkt
bebek quacky	Aku mau turun di tempat yg ga nyebrang walau jalan jauh aja deh
Mahen	Pieming :(
bebek quacky	Bs sih ga nyebrang tp jalan agak jauh
Mahen	Good choicr
bebek quacky	Solutif kan wkwkwk
Mahen	Yepwuw
Mahen	Knp tiba2 emg han
bebek quacky	Ditanya kerjaan ajaa
